Country,Country Code,2019 Life Expectancy,2020 Life Expectancy,2019 GDP (Billion $),2020 GDP (Billion $),lat,long
Chad,TCD,53.259,52.777,11.3149510917283,10.7153960423343,15.0,19.0
Togo,TGO,60.901,61.035,6.99270010137188,7.40028416778479,8.0,1.1667
Thailand,THA,78.975,79.274,543.976691793886,500.46189848024596,15.0,100.0
Tajikistan,TJK,70.867,67.994,8.3008135993084,8.13396355065742,39.0,71.0
Turkmenistan,TKM,69.002,68.687,45.2328571428571,45.818,40.0,60.0
Timor-Leste,TLS,68.268,68.475,2.027034,2.1626192,-8.55,125.5167
Tonga,TON,70.871,70.928,0.512053692078675,0.484796854918756,-20.0,-175.0
Trinidad and Tobago,TTO,74.228,74.406,23.7757543046652,20.807571314304298,11.0,-61.0
Tunisia,TUN,75.993,75.292,41.905540184424005,42.4918164757118,34.0,9.0
Tuvalu,TUV,64.278,64.382,0.0541231985662913,0.0517465943148543,-8.0,178.0
Uganda,UGA,62.991,62.851,35.348155095421504,37.6003682398824,1.0,32.0
Ukraine,UKR,71.8273170731707,71.1851219512195,153.88304750957698,156.61772201334202,49.0,32.0
Uruguay,URY,77.508,78.43,62.2223879289932,53.6686365678667,-33.0,-56.0
United States,USA,78.7878048780488,76.9804878048781,21521.395,21322.95,38.0,-97.0
Uzbekistan,UZB,71.344,70.331,60.2835037053907,60.224701296788496,41.0,64.0
Viet Nam,VNM,74.093,75.378,334.365270496667,346.615738537796,16.0,106.0
Vanuatu,VUT,69.877,70.299,0.936526267622513,0.909421043508407,-16.0,167.0
Samoa,WSM,72.157,72.768,0.912950466064906,0.868898358266437,-13.5833,-172.3333
South Africa,ZAF,66.175,65.252,389.33003222426896,338.291396026698,-29.0,24.0
Zambia,ZMB,62.793,62.38,23.3086677812258,18.1377649312808,-15.0,30.0
Zimbabwe,ZWE,61.292,61.124,21.832234925502103,21.5096984061116,-20.0,30.0
